Date,Price,Index
14/02/2013,"33,342.02",NGX ASI
15/02/2013,"33,258.45",NGX ASI
18/02/2013,"33,251.51",NGX ASI
19/02/2013,"33,335.11",NGX ASI
20/02/2013,"33,708.18",NGX ASI
21/02/2013,"33,506.60",NGX ASI
22/02/2013,"33,895.08",NGX ASI
25/02/2013,"33,811.08",NGX ASI
26/02/2013,"33,613.87",NGX ASI
27/02/2013,"33,736.82",NGX ASI
28/02/2013,"33,075.14",NGX ASI
01/03/2013,"33,183.20",NGX ASI
04/03/2013,"32,947.13",NGX ASI
05/03/2013,"32,784.56",NGX ASI
06/03/2013,"32,731.08",NGX ASI
07/03/2013,"32,772.73",NGX ASI
08/03/2013,"32,849.11",NGX ASI
11/03/2013,"32,890.36",NGX ASI
12/03/2013,"33,351.71",NGX ASI
13/03/2013,"33,357.16",NGX ASI
14/03/2013,"33,207.02",NGX ASI
15/03/2013,"32,950.08",NGX ASI
18/03/2013,"33,243.54",NGX ASI
19/03/2013,"33,298.74",NGX ASI
20/03/2013,"33,207.21",NGX ASI
21/03/2013,"33,361.96",NGX ASI
22/03/2013,"33,506.88",NGX ASI
25/03/2013,"33,467.78",NGX ASI
26/03/2013,"33,429.46",NGX ASI
27/03/2013,"33,468.89",NGX ASI
28/03/2013,"33,536.25",NGX ASI
02/04/2013,"34,351.87",NGX ASI
03/04/2013,"34,548.73",NGX ASI
04/04/2013,"34,339.65",NGX ASI
05/04/2013,"34,301.37",NGX ASI
08/04/2013,"34,810.25",NGX ASI
09/04/2013,"34,089.01",NGX ASI
10/04/2013,"33,665.58",NGX ASI
11/04/2013,"33,466.76",NGX ASI
12/04/2013,"33,514.14",NGX ASI
15/04/2013,"33,532.89",NGX ASI
16/04/2013,"33,334.27",NGX ASI
17/04/2013,"33,352.97",NGX ASI
18/04/2013,"33,334.67",NGX ASI
19/04/2013,"32,993.97",NGX ASI
22/04/2013,"33,090.05",NGX ASI
23/04/2013,"33,090.18",NGX ASI
24/04/2013,"33,432.68",NGX ASI
25/04/2013,"33,271.34",NGX ASI
26/04/2013,"33,159.08",NGX ASI
29/04/2013,"33,030.83",NGX ASI
30/04/2013,186.18,S&P/FMDQ SBI
30/04/2013,"33,440.57",NGX ASI
01/05/2013,186.16,S&P/FMDQ SBI
02/05/2013,185.73,S&P/FMDQ SBI
02/05/2013,"34,502.38",NGX ASI
03/05/2013,185.79,S&P/FMDQ SBI
03/05/2013,"35,109.33",NGX ASI
06/05/2013,186.56,S&P/FMDQ SBI
06/05/2013,"34,935.62",NGX ASI
07/05/2013,187.14,S&P/FMDQ SBI
07/05/2013,"34,815.24",NGX ASI
08/05/2013,186.77,S&P/FMDQ SBI
08/05/2013,"35,486.44",NGX ASI
09/05/2013,187.25,S&P/FMDQ SBI
09/05/2013,"35,782.09",NGX ASI
10/05/2013,187.1,S&P/FMDQ SBI
10/05/2013,"36,010.28",NGX ASI
13/05/2013,187.15,S&P/FMDQ SBI
13/05/2013,"35,956.05",NGX ASI
14/05/2013,186.92,S&P/FMDQ SBI
14/05/2013,"35,994.67",NGX ASI
15/05/2013,186.1,S&P/FMDQ SBI
15/05/2013,"36,236.49",NGX ASI
16/05/2013,186.54,S&P/FMDQ SBI
16/05/2013,"36,400.16",NGX ASI
17/05/2013,187.69,S&P/FMDQ SBI
17/05/2013,"36,907.81",NGX ASI
20/05/2013,186.7,S&P/FMDQ SBI
20/05/2013,"36,817.75",NGX ASI
21/05/2013,186.49,S&P/FMDQ SBI
21/05/2013,"37,046.63",NGX ASI
22/05/2013,187,S&P/FMDQ SBI
22/05/2013,"37,259.91",NGX ASI
23/05/2013,187.04,S&P/FMDQ SBI
23/05/2013,"36,472.43",NGX ASI
24/05/2013,187.08,S&P/FMDQ SBI
24/05/2013,"37,350.53",NGX ASI
27/05/2013,187.23,S&P/FMDQ SBI
27/05/2013,"37,386.36",NGX ASI
28/05/2013,187.18,S&P/FMDQ SBI
28/05/2013,"38,016.80",NGX ASI
29/05/2013,185.19,S&P/FMDQ SBI
30/05/2013,185.26,S&P/FMDQ SBI
30/05/2013,"38,016.80",NGX ASI
31/05/2013,185.36,S&P/FMDQ SBI
31/05/2013,"37,794.75",NGX ASI
03/06/2013,183.19,S&P/FMDQ SBI
03/06/2013,"37,822.99",NGX ASI
04/06/2013,182.94,S&P/FMDQ SBI
04/06/2013,"38,486.08",NGX ASI
05/06/2013,182.11,S&P/FMDQ SBI
05/06/2013,"39,453.23",NGX ASI
06/06/2013,182.43,S&P/FMDQ SBI
06/06/2013,"39,510.11",NGX ASI
07/06/2013,177.83,S&P/FMDQ SBI
07/06/2013,"39,564.79",NGX ASI
10/06/2013,177.31,S&P/FMDQ SBI
10/06/2013,"39,737.80",NGX ASI
11/06/2013,175.36,S&P/FMDQ SBI
11/06/2013,"40,012.66",NGX ASI
12/06/2013,176.04,S&P/FMDQ SBI
12/06/2013,"38,915.54",NGX ASI
13/06/2013,176.13,S&P/FMDQ SBI
13/06/2013,"37,406.73",NGX ASI
14/06/2013,177.19,S&P/FMDQ SBI
14/06/2013,"37,249.93",NGX ASI
17/06/2013,177.91,S&P/FMDQ SBI
17/06/2013,"37,085.12",NGX ASI
18/06/2013,178.64,S&P/FMDQ SBI
18/06/2013,"37,024.72",NGX ASI
19/06/2013,178.43,S&P/FMDQ SBI
19/06/2013,"37,135.74",NGX ASI
20/06/2013,178.41,S&P/FMDQ SBI
20/06/2013,"36,963.77",NGX ASI
21/06/2013,177.03,S&P/FMDQ SBI
21/06/2013,"36,464.39",NGX ASI
24/06/2013,176.58,S&P/FMDQ SBI
24/06/2013,"36,464.35",NGX ASI
25/06/2013,176.56,S&P/FMDQ SBI
25/06/2013,"35,751.40",NGX ASI
26/06/2013,176.46,S&P/FMDQ SBI
26/06/2013,"36,096.42",NGX ASI
27/06/2013,176.62,S&P/FMDQ SBI
27/06/2013,"36,468.25",NGX ASI
28/06/2013,176.7,S&P/FMDQ SBI
28/06/2013,"36,159.87",NGX ASI
01/07/2013,177.61,S&P/FMDQ SBI
01/07/2013,"35,832.16",NGX ASI
02/07/2013,177.55,S&P/FMDQ SBI
02/07/2013,"36,043.48",NGX ASI
03/07/2013,177.61,S&P/FMDQ SBI
03/07/2013,"35,949.01",NGX ASI
04/07/2013,177.54,S&P/FMDQ SBI
04/07/2013,"36,509.64",NGX ASI
05/07/2013,177.54,S&P/FMDQ SBI
05/07/2013,"36,926.29",NGX ASI
08/07/2013,177.21,S&P/FMDQ SBI
08/07/2013,"36,790.14",NGX ASI
09/07/2013,177.33,S&P/FMDQ SBI
09/07/2013,"37,014.14",NGX ASI
10/07/2013,177.71,S&P/FMDQ SBI
10/07/2013,"37,128.40",NGX ASI
11/07/2013,177.95,S&P/FMDQ SBI
11/07/2013,"37,327.67",NGX ASI
12/07/2013,177.98,S&P/FMDQ SBI
12/07/2013,"37,382.49",NGX ASI
15/07/2013,178.21,S&P/FMDQ SBI
15/07/2013,"37,720.32",NGX ASI
16/07/2013,178.55,S&P/FMDQ SBI
16/07/2013,"37,885.66",NGX ASI
17/07/2013,179.15,S&P/FMDQ SBI
17/07/2013,"37,975.34",NGX ASI
18/07/2013,178.97,S&P/FMDQ SBI
18/07/2013,"38,334.54",NGX ASI
19/07/2013,178.91,S&P/FMDQ SBI
19/07/2013,"38,328.29",NGX ASI
22/07/2013,179.17,S&P/FMDQ SBI
22/07/2013,"38,090.75",NGX ASI
23/07/2013,179.47,S&P/FMDQ SBI
23/07/2013,"37,885.58",NGX ASI
24/07/2013,179.13,S&P/FMDQ SBI
24/07/2013,"37,554.01",NGX ASI
25/07/2013,177.49,S&P/FMDQ SBI
25/07/2013,"37,286.50",NGX ASI
26/07/2013,177.42,S&P/FMDQ SBI
26/07/2013,"37,145.65",NGX ASI
29/07/2013,177.69,S&P/FMDQ SBI
29/07/2013,"37,562.50",NGX ASI
30/07/2013,177.84,S&P/FMDQ SBI
30/07/2013,"37,806.45",NGX ASI
31/07/2013,177.79,S&P/FMDQ SBI
31/07/2013,"37,914.33",NGX ASI
01/08/2013,177.82,S&P/FMDQ SBI
01/08/2013,"38,292.07",NGX ASI
02/08/2013,177.91,S&P/FMDQ SBI
02/08/2013,"38,424.34",NGX ASI
05/08/2013,178.25,S&P/FMDQ SBI
05/08/2013,"38,350.96",NGX ASI
06/08/2013,178.31,S&P/FMDQ SBI
06/08/2013,"38,227.63",NGX ASI
07/08/2013,179.84,S&P/FMDQ SBI
07/08/2013,"38,037.85",NGX ASI
08/08/2013,180.14,S&P/FMDQ SBI
09/08/2013,180.2,S&P/FMDQ SBI
12/08/2013,180.37,S&P/FMDQ SBI
12/08/2013,"37,813.43",NGX ASI
13/08/2013,181.51,S&P/FMDQ SBI
13/08/2013,"37,589.60",NGX ASI
14/08/2013,181.49,S&P/FMDQ SBI
14/08/2013,"37,103.67",NGX ASI
